Project Name :,JIB-Ecommerce,,,Create Date :,2026-05-26,,
Project ID :,,,,Start Test Date :,2026-05-26,,
Tester Name :,admin zero,,,Finish Test Date :,2026-05-26,,
Project Release / Version :,1.0,,,Module / Function :,เงื่อนไขความเข้ากันได้ (Template Mapping Conditions) - Rule Builder,,
URL List :,https://devstorex.jibc.codelabdev.co/store/product-manager/template-mapping-conditions,,,,,,
URL Create :,https://devstorex.jibc.codelabdev.co/store/product-manager/template-mapping-conditions/create,,,,,,
URL Edit :,https://devstorex.jibc.codelabdev.co/store/product-manager/template-mapping-conditions/update/{id},,,,,,
Total Records :,8 (สร้างจาก test session - 6 operators / 4 levels / Multi-LHS-term ครบ),,,,,,
Business Context :,"Rule Builder สำหรับสร้างเงื่อนไขความเข้ากันได้ของสินค้าคอม (เช่น PSU watt ≥ Σ component watt, CPU socket = Mainboard socket, RAM type อยู่ใน Mainboard support list) - ป้องกันลูกค้าซื้อสเปคที่เข้ากันไม่ได้",,,,,,
,,,,,,,
Test Case ID,Category,Test case Objective,Test Description / Procedure,Test Data,Expected Result,Actual Result,Result (Pass/Fail)
,,,,,,,
"---- PART 1: หน้า List (รายการเงื่อนไข) ----",,,,,,,
,,,,,,,
"-- A. การโหลดหน้า + UI Elements --",,,,,,,
J-MC-LP001,Page Load,เปิดหน้ารายการ (Default),1. เข้า URL /template-mapping-conditions,-,แสดง list (ว่างถ้ายังไม่มี) + ปุ่ม controls ครบ,'0 - 0 จาก 0 รายการ' + ปุ่มทำงานครบ,Pass
J-MC-LP002,UI,Breadcrumb,1. ดู breadcrumb,-,"ร้านค้า > จัดการสินค้า > เงื่อนไขความเข้ากันได้",Breadcrumb ถูกต้อง,Pass
J-MC-LP003,UI,Header,1. ดูข้อความหัวหน้า,-,แสดง 'เงื่อนไขความเข้ากันได้',แสดงครบถ้วน,Pass
J-MC-LP004,UI,คอลัมน์ในตาราง,1. ดูหัวคอลัมน์,-,"11 คอลัมน์: #, ชื่อเงื่อนไข, สมการ, ตัวเปรียบเทียบ, ระดับ, สถานะ, ผู้สร้าง, วันที่สร้าง, ผู้แก้ไขล่าสุด, วันที่แก้ไข, จัดการ",คอลัมน์ครบตามที่คาด,Pass
J-MC-LP005,UI,ปุ่มใน Action Bar,1. ดู toolbar,-,"มี: ค้นหา, ตัวกรอง, ปรับแต่งคอลัมน์, เพิ่มเงื่อนไข","มีครบ - แต่ไม่มี dropdown filter เฉพาะ (สถานะ/ระดับ) ใน action bar",Pass
J-MC-LP006,UI,Empty State,1. ดูหน้าตอนยังไม่มีข้อมูล,-,แสดง 'ไม่พบข้อมูล' + 0 รายการ,แสดง 'ไม่พบข้อมูล' + '0 - 0 จาก 0 รายการ',Pass
,,,,,,,
"-- B. การค้นหา (Search) --",,,,,,,
J-MC-LP010,Search,ค้นหาเมื่อไม่มี data,1. พิมพ์ keyword,Keyword: AnyKeyword,'0 - 0 จาก 0 รายการ',แสดง '0 - 0 จาก 0 รายการ' ไม่ error,Pass
J-MC-LP011,Search,ค้นหาด้วยอักขระพิเศษ,1. พิมพ์ '@#$%',-,ไม่ error / ไม่มีผลลัพธ์,ไม่ error,Pass
J-MC-LP012,Search,ค้นหาด้วย keyword,1. พิมพ์ 'REQUIRE PAIR',-,กรอง match ที่มี keyword,"พบ 1 record ตรงเป๊ะ (#6 Case PSU and Brand REQUIRE PAIR) - URL=?search=REQUIRE+PAIR - footer='1 - 1 จาก 1 รายการ'",Pass
J-MC-LP013,Search,เคลียร์ search,1. ลบคำในช่อง,-,กลับสู่ initial state,กลับเป็น initial,Pass
,,,,,,,
"-- C. ปุ่มตัวกรอง (Filter Sheet) --",,,,,,,
J-MC-LP020,Filter-Sheet,คลิก 'ตัวกรอง',1. คลิกปุ่ม,-,เปิด sheet 'ตัวกรอง',Dialog title='ตัวกรอง' opened=true,Pass
J-MC-LP021,Filter-Sheet,Sheet มีฟิลด์ filter,1. ดูฟิลด์ใน sheet,-,มี input/dropdown สำหรับ filter,"พบ 5 sections: ตัวเปรียบเทียบ (10 radios), LHS combine (4), RHS combine (4), ระดับ (4), สถานะ (2 checkboxes)",Pass
J-MC-LP022,Filter-Sheet,ปิด sheet,1. กด Close หรือ ESC,-,Sheet ปิด,ปิดได้ปกติ,Pass
,,,,,,,
"-- D. ปรับแต่งคอลัมน์ --",,,,,,,
J-MC-LP030,Customize,เปิด Panel,1. คลิก 'ปรับแต่งคอลัมน์',-,เปิด dropdown รายการคอลัมน์,"เปิดได้ - แสดง 10 menu items: #, ชื่อเงื่อนไข, สมการ, ตัวเปรียบเทียบ, ระดับ, สถานะ, ผู้สร้าง, วันที่สร้าง, ผู้แก้ไขล่าสุด, วันที่แก้ไข (ทั้งหมด checked)",Pass
J-MC-LP031,Customize,Toggle คอลัมน์,1. uncheck 'สมการ',-,คอลัมน์ในตาราง update,"คอลัมน์ 'สมการ' หายไปจาก header (เหลือ 10 cols จาก 11) - ทำงานถูกต้อง",Pass
,,,,,,,
"-- E. จำนวนแถวต่อหน้า --",,,,,,,
J-MC-LP040,Rows,ดู Options,1. คลิก dropdown จำนวนแถว,-,"10, 20, 50, 100",แสดง 4 options ครบ,Pass
J-MC-LP041,Rows,เลือก 20,1. เลือก 20,-,ตาราง update ขนาดแถวต่อหน้า,"เลือก 20 - URL=?pageSize=20 - แสดง 8 records ครบ (footer='1 - 8 จาก 8 รายการ')",Pass
,,,,,,,
"-- F. Pagination --",,,,,,,
J-MC-LP050,Pagination,ดู Pagination ตอนว่าง,1. ดูบริเวณ pagination,-,แสดงโดย disabled ทุกปุ่ม,Pagination ไม่ active เพราะ data ว่าง,Pass
J-MC-LP051,Pagination,Pagination เมื่อมี data,1. ดู pagination เมื่อมี 8 records,-,แสดงปุ่ม pagination,"แสดงปุ่ม '1' (page เดียวเพราะ 8 records < 10 per page) + prev/next disabled - ทำงานปกติ",Pass
,,,,,,,
"-- G. ปุ่ม 'เพิ่มเงื่อนไข' --",,,,,,,
J-MC-LP060,Add Button,คลิก 'เพิ่มเงื่อนไข',1. คลิกปุ่มมุมขวาบน,-,นำทาง /create,นำทาง /template-mapping-conditions/create สำเร็จ,Pass
,,,,,,,
"-- H1. View Detail (Eye icon) --",,,,,,,
J-MC-LP070,Detail,คลิกปุ่ม 'eye/view',1. คลิกปุ่มที่ 2 ใน action column,-,เปิด dialog แสดงรายละเอียด,"Dialog เปิด - แสดง: ชื่อเงื่อนไข, คำอธิบาย, สมการ, ตัวเปรียบเทียบ ครบถ้วน",Pass
J-MC-LP071,Detail,ปิด dialog ด้วย ESC,1. กด ESC,-,dialog ปิด,ปิดได้ปกติ,Pass
,,,,,,,
"-- H2. Open menu (3-dot) + Bulk Select --",,,,,,,
J-MC-LP080,Menu,คลิก 'Open menu' (3-dot),1. คลิกปุ่ม 3 จุดที่ action column,-,แสดง menu items,"แสดง 2 items: 'ปิดการใช้งาน', 'ลบ'",Pass
J-MC-LP081,Menu,Disable record via menu,"1. menu → 'ปิดการใช้งาน'
2. กด 'ยืนยัน' ใน dialog",-,status เปลี่ยนเป็น 'ปิดใช้งาน',"Confirm dialog ถูกต้อง → status #8 = 'ปิดใช้งาน' หลังกดยืนยัน",Pass
J-MC-LP082,BulkSelect,เลือกทุกแถว (header checkbox),1. คลิก checkbox ที่ header,-,เลือกทุก row + bulk action ปรากฏ,"8 rows checked + แสดงปุ่มเพิ่ม: 'สถานะสินค้า', 'ลบ'",Pass
,,,,,,,
"-- H3. Sort by Column Header (BUG) --",,,,,,,
J-MC-LP090,Sort,คลิก header 'ชื่อเงื่อนไข' เพื่อ sort,1. คลิก column header,-,ลำดับ row เปลี่ยน (asc/desc) + URL มี sort param,"❌ FAIL: คลิกแล้วลำดับ row ไม่เปลี่ยน (still 8,7,6,5,4) + URL ไม่มี sort param - sort feature ไม่ทำงาน",Fail
,,,,,,,
"-- H4. Pagination Bug (BUG) --",,,,,,,
J-MC-LP091,Pagination-Bug,pageSize=10 แต่ render แค่ 5/8 rows,"1. เปิดหน้า list (default pageSize=10)
2. มี 8 records",-,แสดงครบ 8 rows,"❌ FAIL: footer='1 - 8 จาก 8 รายการ' แต่ tbody มี 5 rows (#4-#8) - records #1, #2, #3 หาย จาก rendering - workaround: เปลี่ยน pageSize=20 จะแสดงครบ 8",Fail
,,,,,,,
"-- H5. Filter Apply --",,,,,,,
J-MC-LP092,Filter-Apply,Apply filter ระดับ='พบปัญหา',1. เปิด filter sheet → คลิก radio 'พบปัญหา',-,กรอง records ที่ severity=4 + URL มี param,"URL=?severity=4 - กรอง 2 records (#7 EXCLUDE_PAIR + #5 NOT IN) ที่มี ระดับ='พบปัญหา' ถูกต้อง",Pass
,,,,,,,
"---- PART 2: หน้า Create - Section 1: ข้อมูลเงื่อนไข ----",,,,,,,
,,,,,,,
"-- H. ฟิลด์ชื่อ + คำอธิบาย --",,,,,,,
J-MC-CR010,Name,กรอกชื่อปกติ,1. กรอก 'PSU watt ≥ Σ component watt',-,รับค่าได้ปกติ,รับค่าได้ปกติ,Pass
J-MC-CR011,Name,เว้นว่างชื่อ (Required),"1. ไม่กรอกชื่อ
2. กดบันทึก",-,แสดง error 'กรุณากรอกชื่อเงื่อนไข',แสดง 'กรุณากรอกชื่อเงื่อนไข' ใต้ฟิลด์,Pass
J-MC-CR012,Name,กรอกชื่อมีสัญลักษณ์คณิต (≥ Σ),1. กรอก 'A ≥ Σ B',-,รับค่าและบันทึกได้,รับค่าได้ปกติ (placeholder ก็มีสัญลักษณ์),Pass
J-MC-CR013,Name,กรอกชื่อภาษาไทย,1. กรอก 'PSU วัตต์มากกว่า component',-,รับค่าได้,รับค่าได้,Pass
J-MC-CR014,Name,กรอกชื่อยาวมาก (255+),1. กรอก 255 ตัวอักษร,-,รับค่าได้ตาม max,ไม่ได้ทดสอบ specific length,Not Tested
J-MC-CR015,Name,XSS test ในชื่อ,1. กรอก '<script>alert(1)</script>',-,ไม่ execute,ไม่ได้ทดสอบ (เหมือนหน้าอื่นน่าจะ accept text),Not Tested
J-MC-CR016,Description,กรอกคำอธิบาย,1. กรอก 'ตรวจสอบกำลังไฟของ PSU...',-,รับค่าได้,รับค่าได้,Pass
J-MC-CR017,Description,เว้นว่าง (Optional),1. ไม่กรอก,-,บันทึกได้,บันทึกได้ (Optional field),Pass
J-MC-CR018,Description,Multi-line,1. กรอก newline,-,รับ \\n ได้,ไม่ได้ทดสอบเฉพาะ - คาดว่าได้ (textarea),Not Tested
,,,,,,,
"---- PART 2: หน้า Create - Section 2: ฝั่งซ้าย (LHS) ----",,,,,,,
,,,,,,,
"-- I. วิธีรวมค่าระหว่าง term (LHS) --",,,,,,,
J-MC-CR020,LHS-Combine,Radio options (4 ค่า),1. ดู radio buttons,-,"4 options: SUM, COALESCE, MAX, MIN","แสดง 4 options: SUM, COALESCE, MAX, MIN",Pass
J-MC-CR021,LHS-Combine,Default value,1. ดูค่าเริ่มต้น,-,Default = SUM,Default = SUM,Pass
J-MC-CR022,LHS-Combine,เลือก COALESCE,1. คลิก radio COALESCE,-,เปลี่ยนค่าได้,เปลี่ยนได้ปกติ,Pass
J-MC-CR023,LHS-Combine,เลือก MAX/MIN,1. คลิก radio MAX/MIN,-,เปลี่ยนค่าได้,"คลิกผ่าน label - ทำงาน (Radix radio รับ label click แต่ JS .click() บน input ตรงๆ ไม่ทำงาน - bug pattern)",Pass
,,,,,,,
"-- J. Template (LHS) --",,,,,,,
J-MC-CR030,LHS-Template,เปิด dropdown,1. คลิก 'เลือก template',-,แสดง list templates,แสดง 25+ templates (3D PRINTER / Air Conditioner / AirPods / All-In-One PC / ... / Case Power Supply / Product Brand),Pass
J-MC-CR031,LHS-Template,Template มี duplicate names,1. ดู list,-,แสดง templates ทั้งหมด (อาจมี duplicate),"พบ duplicate: 'All-In-One PC' 4 ครั้ง, 'Case' 2 ครั้ง, 'Commercial' 6 ครั้ง - น่าจะ same name ต่าง ID",Warning
J-MC-CR032,LHS-Template,เลือก template ที่ไม่มี options,1. เลือก template ว่าง,-,หัวข้อจะแสดง 'ไม่มีหัวข้อใน template นี้','ไม่มีหัวข้อใน template นี้' ตรงตามคาด,Pass
J-MC-CR033,LHS-Template,เลือก template มี options,1. เลือก 'Case',-,หัวข้อ dropdown มี options ให้เลือก,"พบ 2 topics: 'Case Power Supply', 'Product Brand' - ทำงานถูกต้อง",Pass
J-MC-CR034,LHS-Template,Required validation,"1. ไม่เลือก template
2. กดบันทึก",-,แสดง 'กรุณาเลือก template',แสดง 'กรุณาเลือก template' เมื่อกด save,Pass
,,,,,,,
"-- K. หัวข้อ (LHS Topic) --",,,,,,,
J-MC-CR040,LHS-Topic,Default state (ก่อนเลือก template),1. ดู topic combo,-,'เลือก template ก่อน' (disabled),'เลือก template ก่อน' ปรากฏก่อนเลือก template,Pass
J-MC-CR041,LHS-Topic,หลังเลือก template,1. เลือก template แล้วดู topic combo,-,'เลือกหัวข้อ' (enabled),'เลือกหัวข้อ' หลังเลือก template,Pass
J-MC-CR042,LHS-Topic,Topic เปลี่ยนตาม template,1. เลือก 'Case' → topics = Case Power Supply, Product Brand,-,Topic list อัพเดต,Topics filter ถูกต้องตาม template ที่เลือก,Pass
J-MC-CR043,LHS-Topic,Required validation,"1. ไม่เลือก topic
2. กดบันทึก",-,แสดง 'กรุณาเลือกหัวข้อ',แสดง 'กรุณาเลือกหัวข้อ' เมื่อกด save,Pass
,,,,,,,
"-- L. วิธีรวมในชิ้น (Combine in Item - LHS) --",,,,,,,
J-MC-CR050,LHS-CombineItem,Default value,1. ดูค่าเริ่มต้น,-,'ไม่รวม' (None),'ไม่รวม' default,Pass
