Project Name :,JIB-Ecommerce,,,Create Date :,2026-06-15,,
Project ID :,,,,Start Test Date :,2026-06-15,,
Tester Name :,sirun.sun@codelabdev.co,,,Finish Test Date :,2026-06-15,,
Project Release / Version :,1.0,,,Module / Function :,ค่าการตั้งค่าระบบ,,
URL List :,https://devstorex.jibc.codelabdev.co/store/settings/system-configs,,,,,,
URL Create :,-,,,,,,
,,,,,,,
Test Case ID,Category,Test case Objective,Test Description / Procedure,Test Data,Expected Result,Actual Result,Result (Pass/Fail)
,,,,,,,
---- PART 1: หน้าตั้งค่า ----,,,,,,,
,,,,,,,
J-SYSC-ST001,Page Load,เปิดหน้าตั้งค่า,1. เข้า https://devstorex.jibc.codelabdev.co/store/settings/system-configs,-,หน้าโหลดสำเร็จ,หน้าโหลดสำเร็จ,Pass
J-SYSC-ST002,UI,แสดงฟอร์ม/ตาราง,1. ดูเนื้อหา,-,มี input หรือตารางตั้งค่า,inputs=2 rows=5,Pass
J-SYSC-ST003,UI,ปุ่มบันทึก (ถ้ามี),1. ดูปุ่ม,-,มีปุ่มบันทึกหรือแก้ไข,ไม่พบปุ่มบันทึก,Warning
J-SYSC-ST004,Save,บันทึกการตั้งค่า,1. แก้ค่า + บันทึก,-,บันทึกสำเร็จ / toast,ไม่ได้ทดสอบ save E2E (เลี่ยงกระทบ config),Warning
---- PART 2: การเข้าถึง ----,,,,,,,
,,,,,,,
---- PART 3: UI/UX + Security ----,,,,,,,
,,,,,,,
J-SYSC-UX001,Responsive,Desktop 1920px,1. เปิด viewport 1920,-,Layout ปกติ,viewport 1920x1080,Pass
J-SYSC-UX002,Browser,Chromium,1. เปิดบน Chrome,-,ทำงานปกติ,Chromium Puppeteer,Pass
J-SYSC-SEC001,Session,เข้าหน้าหลัง login,1. login แล้วเข้า URL,-,เข้าได้ไม่ redirect,เข้าได้หลัง login,Pass
,,,,,,,
-- สรุปผลทดสอบรวม (Summary) --,,,,,,,
Total Test Cases :,7,,,,,,
Pass :,5,,,Fail :,0,,
Warning :,2,,,Not Tested :,0,,
,,,,,,,
Pass Rate :,71.4%,,,Fail Rate :,0.0%,,
,,,,,,,
Notes :,Automated via Puppeteer — ตั้งค่า / ค่าการตั้งค่าระบบ,,,,,,
