Project Name :,JIB-Ecommerce,,,Create Date :,2026-05-25,,
Project ID :,,,,Start Test Date :,2026-05-25,,
Tester Name :,admin zero,,,Finish Test Date :,2026-05-25,,
Project Release / Version :,1.0,,,Module / Function :,Template Options Mapping (กลุ่มตัวเลือก Mapping) - ครบทุกหน้า,,
URL List :,https://devstorex.jibc.codelabdev.co/store/product-manager/template-options,,,,,,
URL Create :,https://devstorex.jibc.codelabdev.co/store/product-manager/template-options/create,,,,,,
URL Edit :,https://devstorex.jibc.codelabdev.co/store/product-manager/template-options/update/{id},,,,,,
Total Records :,138 (ณ วันทดสอบ),,,,,,
,,,,,,,
Test Case ID,Category,Test case Objective,Test Description / Procedure,Test Data,Expected Result,Actual Result,Result (Pass/Fail)
,,,,,,,
"---- PART 1: หน้า List (รายการ) ----",,,,,,,
,,,,,,,
"-- A. การโหลดหน้า + UI Elements --",,,,,,,
J-PT-LP001,Page Load,เปิดหน้ารายการ (Default state),1. เข้า URL /store/product-manager/template-options,-,"แสดงตารางข้อมูล 10 รายการแรก + รายการรวม + pagination + ปุ่มเพิ่ม",โหลดสำเร็จ 10 แถวแรก / รายการรวม 138 / pagination 1-14 / ปุ่มทำงานครบ,Pass
J-PT-LP002,UI,ตรวจสอบ Breadcrumb,1. ดู breadcrumb,-,"แสดง: ร้านค้า > จัดการสินค้า > กลุ่มตัวเลือก Mapping",Breadcrumb แสดงครบ 3 ระดับ,Pass
J-PT-LP003,UI,ตรวจสอบ Header ของหน้า,1. ดูข้อความหัวหน้า,-,"แสดง 'กลุ่มตัวเลือก Mapping' + คำบรรยาย 'จัดการกลุ่มตัวเลือกสำหรับ Mapping'",แสดงครบถ้วน,Pass
J-PT-LP004,UI,ตรวจสอบคอลัมน์ในตาราง,1. ดูหัวคอลัมน์,-,"11 คอลัมน์: checkbox, #, ชื่อกลุ่มตัวเลือก, ประเภท, คำอธิบาย, จำนวนตัวเลือก, สถานะ, ผู้สร้าง, วันที่สร้าง, ผู้แก้ไขล่าสุด, วันที่แก้ไข, จัดการ",คอลัมน์ครบตามที่คาด,Pass
J-PT-LP005,UI,ตรวจสอบ Action Bar,1. ดู toolbar ด้านบนตาราง,-,"มี: ช่องค้นหา, dropdown ประเภท, dropdown สถานะ, ปุ่มตัวกรอง, ปุ่มปรับแต่งคอลัมน์, ปุ่มเพิ่มกลุ่มตัวเลือก",มี UI elements ครบทั้งหมด,Pass
,,,,,,,
"-- B. การค้นหา (Search) --",,,,,,,
