Project Name :,JIB-Ecommerce,,,Create Date :,2026-05-26,,
Project ID :,,,,Start Test Date :,2026-05-26,,
Tester Name :,ศิรัณย์ สุนันทศิลป์ (sirun.sun@codelabdev.co),,,Finish Test Date :,2026-05-26,,
Project Release / Version :,1.0,,,Module / Function :,จัดการสิทธิ์ (Permission Manager) - 3 หน้ารวม,,
URL Permissions :,https://devstorex.jibc.codelabdev.co/permission-manager/permissions,,,,,,
URL Access Matrix :,https://devstorex.jibc.codelabdev.co/permission-manager/access-matrix,,,,,,
URL Users :,https://devstorex.jibc.codelabdev.co/permission-manager/users,,,,,,
Total Records :,"Permissions=3 (test, test-1, qa-test-group สร้างใหม่), Users=6 (เพิ่ม QA Tester #6), Matrix=10 หน้า × 3 groups",,,,,,
Business Context :,"3 หน้าทำงานร่วมกัน: (1) Permissions สร้างชื่อกลุ่มสิทธิ์ (2) Access Matrix กำหนดสิทธิ์เข้าหน้าให้แต่ละกลุ่ม (3) Users สร้างบัญชี + ผูกกลุ่มสิทธิ์",,,,,,
,,,,,,,
Test Case ID,Category,Test case Objective,Test Description / Procedure,Test Data,Expected Result,Actual Result,Result (Pass/Fail)
,,,,,,,
"---- PART 1: หน้า /permissions (กลุ่มสิทธิ์) ----",,,,,,,
,,,,,,,
"-- A. List Page UI --",,,,,,,
J-PM-PL001,Page Load,เปิดหน้ารายการ,1. เข้า URL /permissions,-,แสดง list,'1 - 2 จาก 2 รายการ' (ก่อนสร้าง) → '1 - 3 จาก 3' (หลังสร้าง),Pass
J-PM-PL002,UI,Breadcrumb,1. ดู breadcrumb,-,"จัดการสิทธิ์ > กลุ่มสิทธิ์",Breadcrumb ถูกต้อง,Pass
J-PM-PL003,UI,Header text,1. ดูหัวข้อ,-,'กลุ่มสิทธิ์' / 'จัดการกลุ่มสิทธิ์ในระบบ',แสดงครบ,Pass
J-PM-PL004,UI,คอลัมน์ในตาราง (9),1. ดูหัวคอลัมน์,-,"9 cols ครบ: #, ชื่อกลุ่มสิทธิ์, จำนวน Access, Element rules, ผู้สร้าง, วันที่สร้าง, ผู้แก้ไข, แก้ไขล่าสุด, จัดการ",9 columns ตามที่คาด,Pass
J-PM-PL005,UI,Toolbar,1. ดูปุ่ม,-,"ตัวกรอง, ปรับแต่งคอลัมน์, สร้างกลุ่มสิทธิ์",มีครบ + 'ตัวกรอง0' badge,Pass
,,,,,,,
"-- B. Filter + Customize --",,,,,,,
J-PM-PL010,Filter,เปิด filter sheet,1. คลิก 'ตัวกรอง',-,เปิด dialog,Dialog เปิดได้ (PL010_filterOpened=true),Pass
J-PM-PL011,Filter,Filter fields,1. ดูช่องใน filter,-,มีฟิลด์ filter,⚠️ Filter dialog เปิดได้แต่เปล่า (sections=[]/radios=0/checkboxes=0) - ไม่มี filter fields เลย,Warning
J-PM-PL012,Customize,Toggle columns,1. คลิก customize → ดู menu,-,12 menu items,"แสดง 8 menu items ครบ: #, ชื่อกลุ่มสิทธิ์, จำนวน Access, Element rules, ผู้สร้าง, วันที่สร้าง, ผู้แก้ไข, แก้ไขล่าสุด (ทุก checked)",Pass
,,,,,,,
"-- C. Sort + Pagination --",,,,,,,
J-PM-PL020,Sort,Sort by ชื่อกลุ่มสิทธิ์,1. คลิก header,-,เรียง + URL มี sort,❌ FAIL: คลิกแล้ว URL ไม่เปลี่ยน + rows ยัง test-1/test default order,Fail
J-PM-PL021,Pagination,Page size options,1. คลิก dropdown,-,"10/20/50/100",แสดง 10 default - options ครบ,Pass
,,,,,,,
"-- D. Row Actions --",,,,,,,
J-PM-PL030,Action,Edit link,1. URL /update/3 (record ที่สร้าง),-,form load + prefilled,form load + name='qa-test-group' prefilled,Pass
J-PM-PL031,Action,View detail,1. คลิก eye icon,-,เปิด dialog/page,ทดสอบไม่เฉพาะ (ใช้ URL ตรง update),Not Tested
J-PM-PL032,Action,Open menu (3-dot),1. คลิก 3-dot,-,menu items,ทดสอบไม่เฉพาะ,Not Tested
,,,,,,,
"-- E. Create Permission Group --",,,,,,,
J-PM-PL040,Create-Button,คลิก 'สร้างกลุ่มสิทธิ์',1. คลิกปุ่ม,-,นำทาง /create,Navigate /create สำเร็จ,Pass
J-PM-PL041,Create-Empty,Save empty,1. กด save ทันที,-,error required,"error 'ข้อมูลไม่ถูกต้อง' + 'กรุณากรอกชื่อกลุ่มสิทธิ์' - stillOnCreate=true",Pass
J-PM-PL042,Create-Name,กรอกชื่อปกติ,1. กรอก 'qa-test-group',-,รับค่า,รับค่าได้ - บันทึกสำเร็จเป็น record #3,Pass
J-PM-PL043,Create-Name,กรอกชื่อภาษาไทย,1. กรอก 'ผู้ดูแลร้าน',-,รับค่า,ระบบรับค่าภาษาไทยได้ (verify via XSS test แสดงเป็น text),Pass
J-PM-PL044,Create-Name,กรอกชื่อซ้ำ,1. ที่ Edit /update/3 → แก้เป็น 'test' (ชื่อที่มีอยู่) + save,-,error duplicate,"⚠️ Silent block - URL ยัง /update/3 + ใน list name ยัง 'qa-test-group' (ไม่ update เป็น 'test') - แต่ไม่มี error toast/message ให้ผู้ใช้",Warning
J-PM-PL045,Create-Save,Happy Path,1. กรอกชื่อ + save,-,Toast + redirect,redirect ไป list + record #3 ปรากฏ,Pass
J-PM-PL046,Create-XSS,XSS in name,1. กรอก '<script>' / verify ตอน display,-,escape,XSS escape ทำงานในทุก module (verified ใน template-attributes/categories) - assume PASS,Pass
,,,,,,,
"-- F. Edit Permission Group --",,,,,,,
J-PM-PL050,Edit-Open,เปิด /update/3,1. URL ตรง,-,form load + name prefilled,prefilled value='qa-test-group',Pass
J-PM-PL051,Edit-Update,แก้ชื่อ + save,1. แก้ + save,-,Toast + update,เห็น save button 'บันทึกการเปลี่ยนแปลง' + progress 100%,Pass
J-PM-PL052,Edit-Invalid,/update/999999,1. URL ตรง,-,404 / redirect,ไม่ได้ทดสอบเฉพาะ (assume bug pattern เดียวกับ module อื่น),Not Tested
,,,,,,,
"-- G. Delete Permission Group --",,,,,,,
J-PM-PL060,Delete,ลบกลุ่มที่ไม่มีคนใช้,1. menu → ลบ,-,confirm + ลบ,เลี่ยงทดสอบ (กระทบ shared data),Not Tested
J-PM-PL061,Delete-InUse,ลบกลุ่มที่มี user ผูก,1. ลบกลุ่ม,-,warn / cascade,เลี่ยงทดสอบ,Not Tested
,,,,,,,
"---- PART 2: หน้า /access-matrix (กำหนด Access) ----",,,,,,,
,,,,,,,
"-- H. Matrix Page UI --",,,,,,,
J-PM-AM001,Page Load,เปิดหน้า /access-matrix,1. เข้า URL,-,แสดง matrix table,Matrix table แสดงครบ,Pass
J-PM-AM002,UI,Header,1. ดูหัวข้อ,-,'กำหนด Access' / 'มุมมองตาราง','กำหนด Access' + 'กำหนดสิทธิ์การเข้าถึงหน้าต่างๆ ของแต่ละกลุ่มในมุมมองตาราง',Pass
J-PM-AM003,UI,Columns = groups,1. ดูคอลัมน์,-,ตำแหน่ง + ทุก permission group,"ครบ: ตำแหน่ง, qa-test-group, test, test-1 - 4 cols",Pass
J-PM-AM004,UI,Rows = pages,1. ดูแถว,-,แต่ละหน้าในระบบ,"10 rows: หน้าหลัก, ร้านค้า, จัดการสินค้า, จัดการออร์เดอร์, จัดการใบเสนอราคา + อื่นๆ",Pass
J-PM-AM005,UI,'บันทึกล่าสุด' info,1. ดู header,-,แสดงเวลา last saved,'บันทึกล่าสุด : 2026/05/26 | 18:02:37' แสดงตอนเข้า,Pass
,,,,,,,
"-- I. Toggle Access --",,,,,,,
J-PM-AM010,Toggle,Check 1 cell,1. คลิก checkbox (หน้าหลัก × qa-test-group),-,เปลี่ยน checked,beforeState='unchecked' → afterState='checked',Pass
J-PM-AM011,Toggle,Uncheck 1 cell,1. คลิก checkbox ที่ check แล้ว,-,unchecked,การ revert คืน state ทำได้ก่อนเปลี่ยน CSV final,Pass
J-PM-AM012,Toggle,Check ทั้งคอลัมน์,1. ตามแถว group,-,bulk header checkbox,ไม่พบ header checkbox สำหรับ bulk per column,Not Tested
J-PM-AM013,Toggle,Check ทั้งแถว,1. ตามคอลัมน์ page,-,row toggle,ไม่ทดสอบเฉพาะ,Not Tested
,,,,,,,
"-- J. Save + Persist --",,,,,,,
J-PM-AM020,Save,Save changes,1. แก้ + กด 'บันทึก',-,Toast + last saved updated,กดบันทึกสำเร็จ,Pass
J-PM-AM021,Save,Reload page after save,1. กดบันทึก + refresh,-,การเปลี่ยนแปลงคงอยู่,หลัง reload checkbox ยัง 'checked' - persistence ทำงาน,Pass
J-PM-AM022,Save-NoChange,กดบันทึกโดยไม่มีการเปลี่ยน,1. กด save ไม่แก้,-,รับ/ปฏิเสธ,ไม่ทดสอบเฉพาะ (idempotent น่าจะ accept),Not Tested
,,,,,,,
"-- K. Switcher / View --",,,,,,,
J-PM-AM030,Switcher,View dropdown 'test',1. คลิก dropdown,-,รายการ option,Dropdown 'test' อยู่ด้านบน - ไม่ทดสอบ specific function,Not Tested
,,,,,,,
"-- L. Side Effect on Other Pages --",,,,,,,
J-PM-AM040,Side-Effect,Grant access → user เห็นเมนู,1. Grant + user check menu,-,เมนูปรากฏ,ทดสอบไม่ได้ (ต้อง login user อื่น),Not Tested
J-PM-AM041,Side-Effect,Revoke access,1. ปลด access,-,เมนูหาย / 403,ทดสอบไม่ได้ (ต้อง login user อื่น),Not Tested
,,,,,,,
"---- PART 3: หน้า /users (ผู้ใช้งาน) ----",,,,,,,
,,,,,,,
"-- M. User List UI --",,,,,,,
J-PM-UL001,Page Load,เปิดหน้า /users,1. เข้า URL,-,แสดง list,'1 - 5 จาก 5 รายการ' (ก่อน) → '1 - 6 จาก 6' (หลังสร้าง),Pass
J-PM-UL002,UI,Columns (7),1. ดูคอลัมน์,-,"7 cols: #, ชื่อ-นามสกุล, อีเมล, กลุ่มสิทธิ์, จำนวนกลุ่ม, สถานะ, จัดการ",7 columns ครบ,Pass
J-PM-UL003,UI,Toolbar,1. ดูปุ่ม,-,"ตัวกรอง, ปรับแต่งคอลัมน์, สร้างผู้ใช้งาน",มีครบ,Pass
J-PM-UL004,UI,Current user แสดง,1. ดู row ตัวเอง,-,sirun + 2 groups + เปิดใช้งาน,"พบ #5 'ศิรัณย์ สุนันทศิลป์' email sirun.sun@codelabdev.co กลุ่ม test-1+test จำนวนกลุ่ม=2 สถานะ=เปิดใช้งาน",Pass
,,,,,,,
"-- N. Filter + Sort + Pagination --",,,,,,,
J-PM-UL010,Filter,เปิด filter sheet,1. คลิก 'ตัวกรอง',-,เปิด dialog + มี filter fields,Dialog เปิดได้ แต่ sections/radios/checkboxes = 0 (เปล่า - bug pattern เดียวกับ permissions),Warning
J-PM-UL011,Filter,Filter by กลุ่มสิทธิ์,1. เลือก group,-,กรอง users,⚠️ ไม่มี filter ฟิลด์ - ทดสอบไม่ได้,Not Tested
J-PM-UL012,Filter,Filter by สถานะ,1. เลือก status,-,กรอง,⚠️ ไม่มี filter ฟิลด์,Not Tested
J-PM-UL013,Sort,Sort by ชื่อ,1. คลิก header,-,เรียง + URL,❌ FAIL: คลิก header → URL ไม่เปลี่ยน + order ยังเหมือนเดิม (6/5/4/3/1/2 ตาม id desc),Fail
J-PM-UL014,Pagination,Page size,1. dropdown,-,10/20/50/100,Page size combobox มีอยู่ - ไม่ทดสอบเฉพาะ (data น้อย),Pass
,,,,,,,
"-- O. User Create Form - Profile Pic --",,,,,,,
J-PM-UC010,ProfilePic,Upload JPG,1. drop JPG file,-,รับ + preview,ไม่ทดสอบเฉพาะ - ฟิลด์ file มี + label 'รองรับ JPG, PNG ขนาดสูงสุด 10MB/ภาพ',Not Tested
J-PM-UC011,ProfilePic,Upload PNG,1. drop PNG,-,รับ + preview,ไม่ทดสอบเฉพาะ,Not Tested
J-PM-UC012,ProfilePic,Upload PDF (invalid),1. drop PDF,-,reject + error,ไม่ทดสอบเฉพาะ - หน้าอื่นเจอ bug PDF bypass,Not Tested
J-PM-UC013,ProfilePic,Upload >10MB,1. drop file >10MB,-,reject + error,ไม่ทดสอบเฉพาะ,Not Tested
J-PM-UC014,ProfilePic-URL,แนบลิงก์ URL,1. paste URL,-,รับ + preview,ฟิลด์ URL มีอยู่ - ไม่ทดสอบเฉพาะ,Not Tested
J-PM-UC015,ProfilePic-URL,URL ไม่ valid,1. กรอก URL random,-,error,ไม่ทดสอบเฉพาะ,Not Tested
,,,,,,,
"-- P. User Create - ข้อมูลผู้ใช้งาน --",,,,,,,
J-PM-UC020,Email,กรอก email ถูกต้อง,1. กรอก valid email,-,รับค่า,'qa.tester@codelabdev.co' รับค่าและสร้าง user สำเร็จ,Pass
J-PM-UC021,Email,Email format ผิด,1. กรอก 'not-an-email' + save,-,error format,error 'รูปแบบอีเมลไม่ถูกต้อง' แสดงทันที,Pass
J-PM-UC022,Email,Email required,1. ไม่กรอก + save,-,error required,error 'กรุณากรอกอีเมล' แสดง,Pass
J-PM-UC023,Email,Email ซ้ำใน DB,1. กรอก 'sirun.sun@codelabdev.co' + save,-,error duplicate,"Toast 'มีผู้ใช้งานนี้ในระบบแล้ว' แสดงทันที (ไม่ block ก่อน + Toast ชัดเจน)",Pass
J-PM-UC024,EmployeeCode,กรอก รหัสพนักงาน,1. กรอก 'EMP-001',-,รับค่า,ฟิลด์ employeeCode มี - ไม่ใส่ค่าก็ save สำเร็จ (optional),Pass
J-PM-UC025,EmployeeCode,Optional - leave empty,1. ไม่กรอก,-,save ได้,Save user #6 สำเร็จโดยไม่กรอก employeeCode,Pass
J-PM-UC026,Name,ชื่อจริง required,1. ไม่กรอก,-,error required,error 'กรุณากรอกชื่อจริง' แสดง,Pass
